========================================================================================
GondarII              	       DeviceKey
========================================================================================

========================================================================================		  
				   Change History
========================================================================================
v01.00.00     			Date: <08/06/2010>	    	Remarks: <ALL>
========================================================================================



###### Setup Codes For Audio - Amplifier (A) ######

Technics                                1308, 1518, 1309, 1633, 1763, 1765
Technika                                2426
Techwood                                0609
Telefunken                              1389, 1390
Tevion                                  1389
Thomson                                 1254, 1194, 1354
Thorens                                 1189
Tokai                                   1390
Toshiba                                 1123
United                                  1390
Universum                               1609, 0609, 1390
Venturer                                1390
Victor                                  0074
Vtrek                                   2426, 2483
Wharfedale                              1390
Xenius                                  1390
Yamaha                                  0176, 0376, 0712, 1276, 1331, 1476, 1776, 2061, 
                                        2467
Zenith                                  1293


--- DVD/PVR Combination (R) ---

Pioneer                                 1459
Sony                                    2172


--- HTiB (R) ---

AEG                                     1389, 1390
AFK                                     1389
Akai                                    1390
All-Tel                                 1390
Amstrad                                 1390
Anam                                    1609
ASCOMTEC                                1389
Audiosonic                              1389
Audiovox                                1390
Audioworld                              1390
Belson                                  1389
Binatone                                1389
Blue Sky                                1390
Bose                                    1229, 1629, 1933
Cameron                                 2426
Cat                                     1389
Clatronic                               1389
Coby                                    1389
Curtis                                  1389
Daewoo                                  1293
Dantax                                  1390
Denon                                   2857, 1460, 2279
Denver                                  1389
Diamond                                 1390
Dual                                    1390
Elta                                    1390
Fisher                                  1801
Goodmans                                1389, 1390
Grunkel                                 1390
Hanseatic                               1390
Harman/Kardon                           1306
HCM                                     1390
HE                                      1389
Hitachi                                 1801
Hiteker                                 1389
HitPlus                                 2483
Home Tech Industries                    1389
Integra                                 0135, 1298
JBL                                     1306
JVC                                     0074, 1374, 1495, 1676, 2239, 2331
Kenwood                                 1313, 1293
KLH                                     1390
KXD                                     1389
Lenoxx                                  1389
LG                                      1293, 2197, 2676
Magnat                                  1389
Medion                                  2197
MEI                                     1390
NAD                                     0609
Nexius                                  1390
Nikkai                                  1389
Norcent                                 1389
Nova                                    1389
Onkyo                                   0135, 1298
Palladium                               1293, 1390
Panasonic                               1288, 1548, 1633, 1763, 1765, 1779, 2221, 2452, 
                                        2967
Philco                                  1390
Philips                                 1269, 1266, 1673, 1831, 2311, 2341, 2459
Pioneer                                 1123, 1284, 1459
PJ                                      1389
Polk Audio                              1289
Proline                                 1390
ProVision                               1389
QONIX                                   1390
Quadro                                  1389
Radionette                              1293
RCA                                     1609, 1390, 1459, 2426, 2490
Redstar                                 1389
Samsung                                 1295, 1500, 1868
Sanyo                                   1801
Schneider                               1390
Scott                                   1389
Sherwood                                1905
Silva Schneider                         1390
Sony                                    1622, 1454, 1558, 1658, 1722, 1758, 1822, 1827, 
                                        1858, 1882, 2172, 2522
Targa                                   1293
Teac                                    1609, 1390
Technics                                1763, 1765
Technika                                2426
Telefunken                              1389, 1390
Tevion                                  1389
Thomson                                 1194
Tokai                                   1390
United                                  1390
Universum                               1609, 1390
Venturer                                1390
Vtrek                                   2426, 2483
Wharfedale                              1390
Xenius                                  1390
Yamaha                                  0712, 1331, 2061
Zenith                                  1293


###### Setup Codes For Satellite Set Top Box (S) ######

@sat                                    1300
@Sky                                    1334
ABsat                                   0713
Acoustic Solutions                      1284
ADB                                     0887, 1367, 2367
Airis                                   1659, 1993
Akai                                    0200
Akura                                   1626
Alba                                    0713, 1284, 1659, 2296
Allsat                                  0200
Alltech                                 0713
Allvision                               1334
Amitronica                              0713
Ampere                                  0396
Amstrad                                 0396, 0713, 0847, 1175, 1662, 1693, 1801, 1848, 
                                        2139
Anglo                                   0713
Ankaro                                  0713
Ansonic                                 2418
Apro                                    1672
Arena                                   1736
Armstrong                               0200
Arnion                                  1300
ASA                                     0740
Asat                                    0200
ASCI                                    0114, 1334
ASLF                                    0713
AssCom                                  0853
